"","player_name","player_url","Season","Age","Squad","Country","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"1","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2004-2005",17,"Barcelona","","1. Champions Lg",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2004-2005",17,"Barcelona","ESP","1. La Liga",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2005-2006",18,"Barcelona","","1. Champions Lg",3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2005-2006",18,"Barcelona","ESP","1. La Liga",10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2006-2007",19,"Barcelona","","1. Champions Lg",4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2006-2007",19,"Barcelona","ESP","1. La Liga",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2007-2008",20,"Barcelona","","1. Champions Lg",8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2007-2008",20,"Barcelona","ESP","1. La Liga",21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2008-2009",21,"Barcelona","","1. Champions Lg",10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2008-2009",21,"Barcelona","ESP","1. La Liga",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2009-2010",22,"Barcelona","","1. Champions Lg",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2009-2010",22,"Barcelona","ESP","1. La Liga",31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2010-2011",23,"Barcelona","","1. Champions Lg",11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
