"","player_name","player_url.x","Season","Age.x","Squad.x","Country.x","Comp","MP","Starts_Time","Min_Time","Mins_Per_90_Time","Gls","Ast.x","G+A","G_minus_PK","PK","PKatt","CrdY.x","CrdR.x","xG_Expected.x","npxG_Expected.x","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","player_url.y","Age.y","Squad.y","Country.y","Mins_Per_90.x","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected.y","npxG_Expected.y","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","player_url.x.x","Age.x.x","Squad.x.x","Country.x.x","Mins_Per_90.y","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast.y","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","player_url.y.y","Age.y.y","Squad.y.y","Country.y.y","Mins_Per_90.x.x","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","player_url.x.x.x","Age.x.x.x","Squad.x.x.x","Country.x.x.x","Mins_Per_90.y.y","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","player_url.y.y.y","Age.y.y.y","Squad.y.y.y","Country.y.y.y","Mins_Per_90","CrdY.y","CrdR.y","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"1","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2002-2003",17,"Sporting CP","POR","1. Primeira Liga",25,11,1080,12,3,3,6,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,0.5,0.25,0.5,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","POR",12,3,NA,15,NA,NA,1.25,NA,0.2,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","POR",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","POR",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","POR",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","POR",12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2002-2003",17,"Sporting CP","","2. UEFA Cup",2,1,118,1.3,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","",1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",17,"Sporting CP","",1.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"3","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2003-2004",18,"Manchester Utd","","1. Champions Lg",5,3,291,3.2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","",3.2,0,NA,4,NA,NA,1.24,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","",3.2,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2003-2004",18,"Manchester Utd","ENG","1. Premier League",29,15,1555,17.3,4,4,8,4,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,0.23,0.23,0.46,0.23,0.46,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","ENG",17.3,4,NA,21,NA,NA,1.22,NA,0.19,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","ENG",17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","ENG",17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","ENG",17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",18,"Manchester Utd","ENG",17.3,5,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2004-2005",19,"Manchester Utd","","1. Champions Lg",7,6,502,5.6,0,2,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.36,0.36,0,0.36,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","",5.6,0,NA,9,NA,NA,1.61,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","",5.6,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2004-2005",19,"Manchester Utd","ENG","1. Premier League",33,25,2423,26.9,5,4,9,5,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.19,0.15,0.33,0.19,0.33,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","ENG",26.9,5,NA,59,NA,NA,2.19,NA,0.08,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","ENG",26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","ENG",26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","ENG",26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",19,"Manchester Utd","ENG",26.9,3,0,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2005-2006",20,"Manchester Utd","","1. Champions Lg",6,6,506,5.6,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","",5.6,0,NA,9,NA,NA,1.6,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","",5.6,1,0,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2005-2006",20,"Manchester Utd","ENG","1. Premier League",33,24,2286,25.4,9,6,15,9,0,0,8,1,NA,NA,NA,NA,NA,NA,NA,0.35,0.24,0.59,0.35,0.59,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","ENG",25.4,9,NA,47,NA,NA,1.85,NA,0.19,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","ENG",25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","ENG",25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","ENG",25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",20,"Manchester Utd","ENG",25.4,8,1,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2006-2007",21,"Manchester Utd","","1. Champions Lg",11,11,959,10.7,3,4,7,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,0.28,0.38,0.66,0.28,0.66,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","",10.7,3,NA,22,NA,NA,2.06,NA,0.14,NA,NA,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","",10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","",10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","",10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","",10.7,3,0,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2006-2007",21,"Manchester Utd","ENG","1. Premier League",34,31,2781,30.9,17,8,25,14,3,4,2,0,NA,NA,NA,NA,NA,NA,NA,0.55,0.26,0.81,0.45,0.71,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","ENG",30.9,17,NA,71,NA,NA,2.3,NA,0.2,NA,NA,3,4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","ENG",30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","ENG",30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","ENG",30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo",21,"Manchester Utd","ENG",30.9,2,0,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
